State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,rice,102,321
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,banana,176,641
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,coconut ,18168,65100000
Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,rice,83,300
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,coconut ,18190,64430000
Andaman and Nicobar Islands,NICOBARS,2002,Kharif     ,rice,189.2,510.84
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,banana,213,1278
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,coconut ,18240,67490000
Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,rice,52,90.17
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,banana,266,1763
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,coconut ,18284.74,68580000
Andaman and Nicobar Islands,NICOBARS,2004,Kharif     ,rice,52.94,72.57
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,banana,66.42,404.12
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,coconut ,18394.7,52380000
Andaman and Nicobar Islands,NICOBARS,2005,Kharif     ,rice,2.09,12.06
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,banana,22,582
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,coconut ,13876.57,52030000
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,banana,198,976
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,coconut ,14358,59370000
Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,rice,3.5,10
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,maize,3.84,18.22
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,mungbean,1.5,1.1
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,banana,593,3425
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,coconut ,14560,71300000
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,rice,10779,31863
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,banana,1531,12073
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,coconut ,6992,23900000
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,rice,9718,27033
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,coconut ,7015,25250000
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif     ,rice,6854.3,18995.62
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,banana,957.57,8582
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,coconut ,3575,15400000
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,rice,6791,20118
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,maize,86.7,96.4
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,banana,657,7968
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,coconut ,3668,12700000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif     ,rice,10695.8,31600.82
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,banana,1524,10882
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,coconut ,7060,26830000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif     ,rice,10509.37,30760.7
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,banana,1530,11558
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,coconut ,7110,26660000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif     ,rice,10681.98,29119.66
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,banana,1912.1,17374.4
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,coconut ,7156.7,34750000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif     ,rice,8683.38,25870.98
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,banana,1656.8,10251.13
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,coconut ,7050.45,26430000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif     ,rice,921.87,2539.64
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,banana,483,4150
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,coconut ,3483.09,14190000
